is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1	TeamTrump	RT @TeamTrump: It’s US vs. them! @realDonaldTrump will fight for you! #BigLeagueTruth #Debates		 It’s US vs. them! @realDonaldTrump will fight for you! #BigLeagueTruth #Debates	its us vs them realdonaldtrump will fight for you bigleaguetruth debates
1	DonaldJTrumpJr	"RT @DonaldJTrumpJr: Ironic since Hillary has gotten a lot more of that ""dark unaccountable money"" into her campaign. #debates"		" Ironic since Hillary has gotten a lot more of that ""dark unaccountable money"" into her campaign. #debates"	ironic since hillary has gotten a lot more of that dark unaccountable money into her campaign debates
1	TeamTrump	"RT @TeamTrump: ""She calls our people deplorable and irredeemable. I will be a president for ALL of our people."" - @RealDonaldTrump #BigLeag…"		" ""She calls our people deplorable and irredeemable. I will be a president for ALL of our people."" - @RealDonaldTrump #BigLeag…"	she calls our people deplorable and irredeemable i will be a president for all of our people realdonaldtrump bigleag
1	KellyannePolls	RT @KellyannePolls: After a decent first debate, @HillaryClinton is back to form: pedantic, lawyerly, technocratic, (woefully untruthful) r…		 After a decent first debate, @HillaryClinton is back to form: pedantic, lawyerly, technocratic, (woefully untruthful) r…	after a decent first debate hillaryclinton is back to form pedantic lawyerly technocratic woefully untruthful r
1	DanScavino	RT @DanScavino: WE LOVE OUR DEPLORABLES!!! #TrumpTrain #Debates2016 https://t.co/2Nt9ID3tV7		 WE LOVE OUR DEPLORABLES!!! #TrumpTrain #Debates2016 https://t.co/2Nt9ID3tV7	we love our deplorables trumptrain debates2016
1	TeamTrump	RT @TeamTrump: It's hard to fight terrorism when you're making cash payments to the world's LARGEST state sponsor of TERROR. Under Trump: N…		 It's hard to fight terrorism when you're making cash payments to the world's LARGEST state sponsor of TERROR. Under Trump: N…	its hard to fight terrorism when youre making cash payments to the worlds largest state sponsor of terror under trump n
1	TeamTrump	RT @TeamTrump: .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y		 .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y	had her chance and she blew it bigleaguetruth debates
1	TeamTrump	"RT @TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://t.co/CaFOF7jS7k"		" ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://t.co/CaFOF7jS7k"	we are going to be thriving again realdonaldtrump bigleaguetruth debates2016
1	cspanPolitics	"""@DLDizel: @cspan: RT @cspanPolitics: VIDEO: @realDonaldTrump at #NHFreedomSummit on @cspan http://t.co/Xp3yKxyL1q http://t.co/3lOeIhz2IJ"""	" ""@DLDizel: @cspan:"	" VIDEO: @realDonaldTrump at #NHFreedomSummit on @cspan http://t.co/Xp3yKxyL1q http://t.co/3lOeIhz2IJ"""	video realdonaldtrump at nhfreedomsummit on cspan
1	JasonMillerinDC	RT @JasonMillerinDC: Is @realDonaldTrump debating Crooked @HillaryClinton or the moderators, @AC360 and @MarthaRaddatz? #rattledhillary		 Is @realDonaldTrump debating Crooked @HillaryClinton or the moderators, @AC360 and @MarthaRaddatz? #rattledhillary	is realdonaldtrump debating crooked hillaryclinton or the moderators ac360 and martharaddatz rattledhillary
